pattern,quality,pattern_accuracy,support,class_balance,p_value,corrected_p,is_sig,global_accuracy
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'E_1_0'}, {'SW_1_1'}]",-0.022382259228330037,0.8888888888888888,108,"{0.0: 92, 1.0: 16}",0.003996003996003996,0.004107004107004107,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'E_1_0'}, {'S_0_1'}]",-0.03420211594027056,0.9137931034482759,116,"{1.0: 52, 0.0: 64}",0.005994005994005994,0.005994005994005994,True,0.9688331432915241
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'SE_1_1'}]",-0.04208734202771125,0.9181818181818182,110,"{0.0: 30, 1.0: 80}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SE_1_1'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",-0.053146028188924,0.9029126213592233,103,"{1.0: 56, 0.0: 47}",0.001998001998001998,0.00231018981018981,True,0.9688331432915241
"[{'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'E_1_0'}]",-0.05404842338531801,0.9084507042253521,142,"{0.0: 92, 1.0: 50}",0.002997002997002997,0.0033602760875488147,True,0.9688331432915241
"[{'E_1_0'}, {'NE_1_1'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'NE_1_1'}, {'N_0_1'}]",-0.06351680785741642,0.9099099099099099,111,"{1.0: 102, 0.0: 9}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}]",-0.06743049268871637,0.9108910891089109,101,"{1.0: 89, 0.0: 12}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}]",-0.07599208497670662,0.8995633187772926,229,"{1.0: 45, 0.0: 184}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}]",-0.07610621402866058,0.8990825688073395,109,"{0.0: 17, 1.0: 92}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}]",-0.08725245784841085,0.8939393939393939,132,"{1.0: 118, 0.0: 14}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'STAY_0_0'}, {'NE_1_1'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}]",-0.08967393499570075,0.907563025210084,119,"{1.0: 108, 0.0: 11}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",-0.10689811571299179,0.9029850746268657,134,"{1.0: 45, 0.0: 89}",0.003996003996003996,0.004107004107004107,True,0.9688331432915241
"[{'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'SW_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",-0.12923475452132815,0.9166666666666666,156,"{1.0: 122, 0.0: 34}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}, {'N_0_1'}]",-0.1498584353371588,0.9142857142857143,175,"{0.0: 115, 1.0: 60}",0.003996003996003996,0.004107004107004107,True,0.9688331432915241
