pattern,quality,support,pattern_accuracy,global_accuracy,dataset_size
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'E_1_0'}]",0.25720765790110733,146,0.8561643835616438,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}]",0.25689583338626776,860,0.9186046511627907,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'SE_1_1'}]",0.2557740467342776,277,0.9025270758122743,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'S_0_1'}]",0.25573663231442034,820,0.9182926829268293,0.9688331432915241,5262
"[{'NE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'STAY_0_0'}, {'NE_1_1'}]",0.2540336098561382,188,0.8776595744680851,0.9688331432915241,5262
"[{'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'S_0_1'}, {'E_1_0'}]",0.25403039247623427,368,0.907608695652174,0.9688331432915241,5262
"[{'N_0_1'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'W_1_0'}, {'STAY_0_0'}]",0.253605886108611,102,0.8627450980392157,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}]",0.2534845817032094,348,0.8908045977011494,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.2514667224295253,308,0.8766233766233766,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'STAY_0_0'}]",0.2513154893225694,359,0.9080779944289693,0.9688331432915241,5262
"[{'NE_1_1'}, {'NE_1_1'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'E_1_0'}]",0.24893140508242773,389,0.910025706940874,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}]",0.248583278319902,219,0.8584474885844748,0.9688331432915241,5262
"[{'NE_1_1'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'E_1_0'}, {'STAY_0_0'}]",0.24852825102219922,324,0.9074074074074074,0.9688331432915241,5262
"[{'NE_1_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}]",0.24701179573697096,543,0.9152854511970534,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}]",0.24689613751072648,614,0.9169381107491856,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SE_1_1'}]",0.24635823436854143,162,0.8765432098765432,0.9688331432915241,5262
"[{'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'W_1_0'}, {'STAY_0_0'}]",0.24564649085867674,381,0.910761154855643,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'NE_1_1'}, {'W_1_0'}, {'W_1_0'}, {'E_1_0'}]",0.24529294729074358,618,0.9174757281553398,0.9688331432915241,5262
"[{'NE_1_1'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'STAY_0_0'}, {'E_1_0'}]",0.24512899441519564,133,0.8345864661654135,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'W_1_0'}, {'NE_1_1'}, {'E_1_0'}]",0.24436834318193457,163,0.8773006134969326,0.9688331432915241,5262
"[{'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'W_1_0'}, {'S_0_1'}, {'STAY_0_0'}]",0.24348955916323245,324,0.8919753086419753,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'STAY_0_0'}]",0.243323618278532,111,0.8198198198198198,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}]",0.2430041854882642,595,0.9176470588235294,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'S_0_1'}, {'E_1_0'}, {'S_0_1'}]",0.2426773792040201,359,0.9108635097493036,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'N_0_1'}, {'N_0_1'}]",0.24062566964984022,601,0.9184692179700499,0.9688331432915241,5262
"[{'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.23941446071767825,374,0.8957219251336899,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'STAY_0_0'}]",0.2385072709578855,182,0.8461538461538461,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'S_0_1'}, {'SE_1_1'}]",0.23725634559183506,177,0.8813559322033898,0.9688331432915241,5262
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'STAY_0_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}]",0.23715162256318667,155,0.8258064516129032,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}]",0.23399422947234583,452,0.9004424778761062,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}]",0.23390170865372528,290,0.8793103448275862,0.9688331432915241,5262
"[{'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'SW_1_1'}, {'W_1_0'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}]",0.23258274128238243,107,0.8411214953271028,0.9688331432915241,5262
"[{'NE_1_1'}, {'E_1_0'}, {'NE_1_1'}, {'NE_1_1'}, {'E_1_0'}, {'S_0_1'}]",0.23049027717005544,352,0.9147727272727273,0.9688331432915241,5262
"[{'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'STAY_0_0'}]",0.23034494859940646,264,0.8674242424242424,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'E_1_0'}, {'S_0_1'}, {'W_1_0'}]",0.23001559789213177,326,0.8957055214723927,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'NE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'SE_1_1'}]",0.22987207173464363,120,0.875,0.9688331432915241,5262
"[{'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}]",0.22870448331317217,124,0.8467741935483871,0.9688331432915241,5262
"[{'NE_1_1'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'SW_1_1'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}]",0.22824779422544816,166,0.8674698795180723,0.9688331432915241,5262
